zip_code,state,city,county,county_rate,city_rate,state_rate,combined_rate,special_district_rate,tax_basis_rule,trade_in_credit
92101,CA,San Diego,San Diego,0.0025,0.0000,0.0725,0.0775,0.0025,DESTINATION_BASED,FALSE
92102,CA,San Diego,San Diego,0.0025,0.0000,0.0725,0.0775,0.0025,DESTINATION_BASED,FALSE
92103,CA,San Diego,San Diego,0.0025,0.0000,0.0725,0.0775,0.0025,DESTINATION_BASED,FALSE
90001,CA,Los Angeles,Los Angeles,0.0025,0.0000,0.0725,0.0950,0.0200,DESTINATION_BASED,FALSE
90002,CA,Los Angeles,Los Angeles,0.0025,0.0000,0.0725,0.0950,0.0200,DESTINATION_BASED,FALSE
90003,CA,Los Angeles,Los Angeles,0.0025,0.0000,0.0725,0.0950,0.0200,DESTINATION_BASED,FALSE
90004,CA,Los Angeles,Los Angeles,0.0025,0.0000,0.0725,0.0950,0.0200,DESTINATION_BASED,FALSE
90005,CA,Los Angeles,Los Angeles,0.0025,0.0000,0.0725,0.0950,0.0200,DESTINATION_BASED,FALSE
94102,CA,San Francisco,San Francisco,0.0125,0.0000,0.0725,0.0875,0.0025,DESTINATION_BASED,FALSE
94103,CA,San Francisco,San Francisco,0.0125,0.0000,0.0725,0.0875,0.0025,DESTINATION_BASED,FALSE
94104,CA,San Francisco,San Francisco,0.0125,0.0000,0.0725,0.0875,0.0025,DESTINATION_BASED,FALSE
94105,CA,San Francisco,San Francisco,0.0125,0.0000,0.0725,0.0875,0.0025,DESTINATION_BASED,FALSE
92618,CA,Irvine,Orange,0.0025,0.0000,0.0725,0.0775,0.0025,DESTINATION_BASED,FALSE
92612,CA,Irvine,Orange,0.0025,0.0000,0.0725,0.0775,0.0025,DESTINATION_BASED,FALSE
92614,CA,Irvine,Orange,0.0025,0.0000,0.0725,0.0775,0.0025,DESTINATION_BASED,FALSE
95110,CA,San Jose,Santa Clara,0.0025,0.0000,0.0725,0.0925,0.0175,DESTINATION_BASED,FALSE
95112,CA,San Jose,Santa Clara,0.0025,0.0000,0.0725,0.0925,0.0175,DESTINATION_BASED,FALSE
95113,CA,San Jose,Santa Clara,0.0025,0.0000,0.0725,0.0925,0.0175,DESTINATION_BASED,FALSE
92801,CA,Anaheim,Orange,0.0025,0.0000,0.0725,0.0775,0.0025,DESTINATION_BASED,FALSE
92802,CA,Anaheim,Orange,0.0025,0.0000,0.0725,0.0775,0.0025,DESTINATION_BASED,FALSE
85001,AZ,Phoenix,Maricopa,0.0070,0.0230,0.0560,0.0860,0.0000,DESTINATION_BASED,TRUE
85002,AZ,Phoenix,Maricopa,0.0070,0.0230,0.0560,0.0860,0.0000,DESTINATION_BASED,TRUE
85003,AZ,Phoenix,Maricopa,0.0070,0.0230,0.0560,0.0860,0.0000,DESTINATION_BASED,TRUE
85004,AZ,Phoenix,Maricopa,0.0070,0.0230,0.0560,0.0860,0.0000,DESTINATION_BASED,TRUE
85005,AZ,Phoenix,Maricopa,0.0070,0.0230,0.0560,0.0860,0.0000,DESTINATION_BASED,TRUE
85201,AZ,Mesa,Maricopa,0.0070,0.0200,0.0560,0.0830,0.0000,DESTINATION_BASED,TRUE
85202,AZ,Mesa,Maricopa,0.0070,0.0200,0.0560,0.0830,0.0000,DESTINATION_BASED,TRUE
85203,AZ,Mesa,Maricopa,0.0070,0.0200,0.0560,0.0830,0.0000,DESTINATION_BASED,TRUE
85701,AZ,Tucson,Pima,0.0050,0.0260,0.0560,0.0870,0.0000,DESTINATION_BASED,TRUE
85702,AZ,Tucson,Pima,0.0050,0.0260,0.0560,0.0870,0.0000,DESTINATION_BASED,TRUE
85703,AZ,Tucson,Pima,0.0050,0.0260,0.0560,0.0870,0.0000,DESTINATION_BASED,TRUE
85704,AZ,Tucson,Pima,0.0050,0.0260,0.0560,0.0870,0.0000,DESTINATION_BASED,TRUE
85281,AZ,Tempe,Maricopa,0.0070,0.0180,0.0560,0.0810,0.0000,DESTINATION_BASED,TRUE
85282,AZ,Tempe,Maricopa,0.0070,0.0180,0.0560,0.0810,0.0000,DESTINATION_BASED,TRUE
85283,AZ,Tempe,Maricopa,0.0070,0.0180,0.0560,0.0810,0.0000,DESTINATION_BASED,TRUE
89101,NV,Las Vegas,Clark,0.0000,0.0000,0.0685,0.0825,0.0140,DESTINATION_BASED,TRUE
89102,NV,Las Vegas,Clark,0.0000,0.0000,0.0685,0.0825,0.0140,DESTINATION_BASED,TRUE
89103,NV,Las Vegas,Clark,0.0000,0.0000,0.0685,0.0825,0.0140,DESTINATION_BASED,TRUE
89104,NV,Las Vegas,Clark,0.0000,0.0000,0.0685,0.0825,0.0140,DESTINATION_BASED,TRUE
89105,NV,Las Vegas,Clark,0.0000,0.0000,0.0685,0.0825,0.0140,DESTINATION_BASED,TRUE
89501,NV,Reno,Washoe,0.0000,0.0000,0.0685,0.0825,0.0140,DESTINATION_BASED,TRUE
89502,NV,Reno,Washoe,0.0000,0.0000,0.0685,0.0825,0.0140,DESTINATION_BASED,TRUE
89503,NV,Reno,Washoe,0.0000,0.0000,0.0685,0.0825,0.0140,DESTINATION_BASED,TRUE
89701,NV,Carson City,Carson City,0.0000,0.0000,0.0685,0.0775,0.0090,DESTINATION_BASED,TRUE
89702,NV,Carson City,Carson City,0.0000,0.0000,0.0685,0.0775,0.0090,DESTINATION_BASED,TRUE
77001,TX,Houston,Harris,0.0000,0.0200,0.0625,0.0825,0.0000,DESTINATION_BASED,TRUE
77002,TX,Houston,Harris,0.0000,0.0200,0.0625,0.0825,0.0000,DESTINATION_BASED,TRUE
77003,TX,Houston,Harris,0.0000,0.0200,0.0625,0.0825,0.0000,DESTINATION_BASED,TRUE
77004,TX,Houston,Harris,0.0000,0.0200,0.0625,0.0825,0.0000,DESTINATION_BASED,TRUE
77005,TX,Houston,Harris,0.0000,0.0200,0.0625,0.0825,0.0000,DESTINATION_BASED,TRUE
75201,TX,Dallas,Dallas,0.0000,0.0200,0.0625,0.0825,0.0000,DESTINATION_BASED,TRUE
75202,TX,Dallas,Dallas,0.0000,0.0200,0.0625,0.0825,0.0000,DESTINATION_BASED,TRUE
75203,TX,Dallas,Dallas,0.0000,0.0200,0.0625,0.0825,0.0000,DESTINATION_BASED,TRUE
75204,TX,Dallas,Dallas,0.0000,0.0200,0.0625,0.0825,0.0000,DESTINATION_BASED,TRUE
75205,TX,Dallas,Dallas,0.0000,0.0200,0.0625,0.0825,0.0000,DESTINATION_BASED,TRUE
78201,TX,San Antonio,Bexar,0.0000,0.0200,0.0625,0.0825,0.0000,DESTINATION_BASED,TRUE
78202,TX,San Antonio,Bexar,0.0000,0.0200,0.0625,0.0825,0.0000,DESTINATION_BASED,TRUE
78203,TX,San Antonio,Bexar,0.0000,0.0200,0.0625,0.0825,0.0000,DESTINATION_BASED,TRUE
78204,TX,San Antonio,Bexar,0.0000,0.0200,0.0625,0.0825,0.0000,DESTINATION_BASED,TRUE
78205,TX,San Antonio,Bexar,0.0000,0.0200,0.0625,0.0825,0.0000,DESTINATION_BASED,TRUE
76101,TX,Fort Worth,Tarrant,0.0000,0.0200,0.0625,0.0825,0.0000,DESTINATION_BASED,TRUE
76102,TX,Fort Worth,Tarrant,0.0000,0.0200,0.0625,0.0825,0.0000,DESTINATION_BASED,TRUE
76103,TX,Fort Worth,Tarrant,0.0000,0.0200,0.0625,0.0825,0.0000,DESTINATION_BASED,TRUE
73301,TX,Austin,Travis,0.0000,0.0200,0.0625,0.0825,0.0000,DESTINATION_BASED,TRUE
78701,TX,Austin,Travis,0.0000,0.0200,0.0625,0.0825,0.0000,DESTINATION_BASED,TRUE
78702,TX,Austin,Travis,0.0000,0.0200,0.0625,0.0825,0.0000,DESTINATION_BASED,TRUE
33101,FL,Miami,Miami-Dade,0.0100,0.0000,0.0600,0.0700,0.0000,DESTINATION_BASED,TRUE
33102,FL,Miami,Miami-Dade,0.0100,0.0000,0.0600,0.0700,0.0000,DESTINATION_BASED,TRUE
33109,FL,Miami Beach,Miami-Dade,0.0100,0.0000,0.0600,0.0700,0.0000,DESTINATION_BASED,TRUE
33125,FL,Miami,Miami-Dade,0.0100,0.0000,0.0600,0.0700,0.0000,DESTINATION_BASED,TRUE
